Continent,Country,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,Severe
Africa,Rwanda,2062,5,159.201,0.386,12952209,494.869,20.3,2.974,1854.211,191.375,4.28,4.7,21,,69.02,No
North America,Saint Kitts and Nevis,17,0,319.597,0,53192,212.865,,,24654.385,,12.84,,,2.3,76.23,No
North America,Saint Lucia,25,0,136.144,0,183629,293.187,34.9,9.721,12951.839,204.62,11.62,,,1.3,76.2,No
North America,Saint Vincent and the Grenadines,55,0,495.732,0,110947,281.787,31.8,7.724,10727.146,252.675,11.62,,,2.6,72.53,No
Europe,San Marino,716,42,21097.295,1237.551,33938,556.667,,,56861.47,,5.64,,,3.8,84.97,No
Africa,Sao Tome and Principe,874,15,3987.936,68.443,219161,212.841,18.7,2.886,3052.714,270.113,2.42,,,2.9,70.39,No
Asia,Saudi Arabia,278835,2917,8009.308,83.788,34813867,15.322,31.9,3.295,49045.411,259.538,17.72,1.8,25.4,2.7,75.13,Yes
Africa,Senegal,10344,209,617.776,12.482,16743930,82.328,18.7,3.008,2470.58,241.219,2.42,0.4,16.6,,67.94,No
Europe,Serbia,26193,590,3849.31,86.706,6804596,80.291,41.2,17.366,14048.881,439.415,10.08,37.7,40.2,5.609,76,Yes
Africa,Seychelles,114,0,1159.243,0,98340,208.354,36.2,8.606,26382.287,242.648,10.55,7.1,35.7,3.6,73.4,No
Africa,Sierra Leone,1843,67,231.04,8.399,7976985,104.7,19.1,2.538,1390.3,325.721,2.42,8.8,41.3,,54.7,No
Asia,Singapore,52825,27,9029.385,4.615,5850343,7915.731,42.4,12.922,85535.383,92.243,10.99,5.2,28.3,2.4,83.62,Yes
North America,Sint Maarten (Dutch part),146,16,3404.692,373.117,42882,1209.088,,,36327.232,,,,,,78.95,No
Europe,Slovakia,2344,29,429.332,5.312,5459643,113.128,41.2,15.07,30155.152,287.959,7.29,23.1,37.7,5.82,77.54,No
Europe,Slovenia,2180,117,1048.615,56.279,2078932,102.619,44.5,19.062,31400.84,153.493,7.25,20.1,25,4.5,81.32,No
Africa,Somalia,3212,93,202.099,5.852,15893219,23.5,16.8,2.731,,365.769,6.05,,,0.9,57.4,No
Africa,South Africa,511485,8366,8624.116,141.059,59308690,46.754,27.3,5.344,12294.876,200.38,5.52,8.1,33.2,2.32,64.13,Yes
Asia,South Korea,14389,301,280.656,5.871,51269183,527.967,43.4,13.914,35938.374,85.998,6.8,6.2,40.9,12.27,83.03,No
Africa,South Sudan,2429,46,216.996,4.109,11193729,,19.2,3.441,1569.888,280.775,10.43,,,,57.85,No
Asia,Sri Lanka,2823,11,131.834,0.514,21413250,341.955,34.1,10.069,11669.077,197.093,10.68,0.3,27,3.6,76.98,No
Africa,Sudan,11738,752,267.69,17.15,43849269,23.258,19.7,3.548,4466.507,431.388,15.67,,,0.8,65.31,No
South America,Suriname,1849,27,3151.88,46.025,586634,3.612,29.6,6.933,13767.119,258.314,12.54,7.4,42.9,3.1,71.68,No
Africa,Swaziland,2775,43,2391.903,37.064,1160164,79.492,21.5,3.163,7738.975,333.436,3.94,1.7,16.5,2.1,60.19,No
Europe,Sweden,80422,5743,7963.15,568.655,10099270,24.718,41,19.985,46949.283,133.982,4.79,18.8,18.9,2.22,82.8,Yes
Europe,Switzerland,35461,1706,4097.35,197.12,8654618,214.243,43.1,18.436,57410.166,99.739,5.59,22.6,28.9,4.53,83.78,Yes
Asia,Syria,809,44,46.227,2.514,17500657,,21.7,,,376.264,,,,1.5,72.7,No
Asia,Taiwan,475,7,19.944,0.294,23816775,,42.2,,,103.957,,,,,80.46,No
Asia,Tajikistan,7495,61,785.834,6.396,9537642,64.281,23.3,3.466,2896.913,427.698,7.11,,,4.8,71.1,No
Africa,Tanzania,509,21,8.521,0.352,59734213,64.699,17.7,3.108,2683.304,217.288,5.75,3.3,26.7,0.7,65.46,No
Asia,Thailand,3320,58,47.564,0.831,69799978,135.132,40.1,11.373,16277.671,109.861,7.04,1.9,38.8,2.1,77.15,No
Asia,Timor,24,0,18.203,0,1318442,87.176,18,3.556,6570.102,335.346,6.86,6.3,78.1,5.9,69.5,No
Africa,Togo,961,19,116.081,2.295,8278737,143.366,19.4,2.839,1429.813,280.033,6.15,0.9,14.2,0.7,61.04,No
North America,Trinidad and Tobago,182,8,130.047,5.716,1399491,266.886,36.2,10.014,28763.071,228.467,10.97,,,3,73.51,No
Africa,Tunisia,1561,51,132.08,4.315,11818618,74.228,32.7,8.001,10849.297,318.991,8.52,1.1,65.8,2.3,76.7,No
Asia,Turkey,232856,5728,2760.951,67.916,84339067,104.914,31.6,8.153,25129.341,171.285,12.13,14.1,41.1,2.81,77.69,Yes
North America,Turks and Caicos Islands,116,2,2996.023,51.656,38718,37.312,,,,,,,,,80.22,No
Africa,Uganda,1182,4,25.841,0.087,45741000,213.759,16.4,2.168,1697.707,213.333,2.5,3.4,16.7,0.5,63.37,No
Europe,Ukraine,72168,1725,1650.167,39.443,43733759,77.39,41.4,16.462,7894.393,539.849,7.11,13.5,47.4,8.8,72.06,No
Asia,United Arab Emirates,60999,351,6167.496,35.489,9890400,112.442,34,1.144,67293.483,317.84,17.26,1.2,37.4,1.2,77.97,Yes
Europe,United Kingdom,304695,46201,4488.333,680.567,67886004,272.898,40.8,18.517,39753.244,122.137,4.28,20,24.7,2.54,81.32,Yes
North America,United States,4667955,154860,14102.47,467.851,331002647,35.608,38.3,15.413,54225.446,151.089,10.79,19.1,24.6,2.77,78.86,Yes
North America,United States Virgin Islands,421,8,4031.679,76.611,104423,306.48,42.2,18.601,,273.67,12.26,,,,80.58,No
South America,Uruguay,1286,36,370.208,10.364,3473727,19.751,35.6,14.655,20551.409,160.708,6.93,14,19.9,2.8,77.91,No
Asia,Uzbekistan,25828,155,771.695,4.631,33469199,76.134,28.2,4.469,6253.104,724.417,7.57,1.3,24.7,4,71.72,No
Europe,Vatican,12,0,14833.127,0,809,,,,,,,,,,75.12,No
South America,Venezuela,20206,174,710.58,6.119,28435943,36.253,29,6.614,16745.022,204.85,6.47,,,0.8,72.06,No
Asia,Vietnam,621,6,6.38,0.062,97338583,308.127,32.6,7.15,6171.884,245.465,6,1,45.9,2.6,75.4,No
Africa,Western Sahara,766,1,1282.373,1.674,597330,,28.4,,,,,,,,70.26,No
Asia,Yemen,1734,497,58.137,16.663,29825968,53.508,20.3,2.922,1479.147,495.003,5.35,7.6,29.2,0.7,66.12,No
Africa,Zambia,6347,170,345.247,9.247,18383956,22.995,17.7,2.48,3689.251,234.499,3.94,3.1,24.7,2,63.89,No
Africa,Zimbabwe,3921,70,263.811,4.71,14862927,42.729,19.6,2.822,1899.775,307.846,1.82,1.6,30.7,1.7,61.49,No
