Month,Sensex,BM,CD,EN,FM,FI,HC,IN,IT,TE,UT
Jan-16,-0.0489,-0.0682,-0.0665,-0.0123,-0.0566,-0.0849,-0.0362,-0.1166,0.0093,-0.1968,-0.0309
Feb-16,-0.0781,-0.0645,-0.0826,-0.0862,-0.0445,-0.1055,-0.0697,-0.1141,-0.0875,0.0185,-0.1335
Mar-16,0.0969,0.1683,0.0886,0.0744,0.0781,0.1212,-0.0039,0.1522,0.1073,0.0792,0.1064
Apr-16,0.0104,0.0611,0.0323,-0.0137,0.0007,0.0317,0.0282,0.0351,-0.0051,0.0357,0.0285
May-16,0.0406,0.0292,0.0353,-0.0124,0.0442,0.0617,-0.0218,0.0508,0.0215,-0.0303,0.0142
Jun-16,0.0124,0.0693,0.0383,0.034,0.0494,0.0244,0.0161,0.0237,-0.033,0.0033,0.0657
Jul-16,0.0382,0.0783,0.0591,0.0775,0.0317,0.0742,0.0507,0.0536,-0.0351,0.019,0.0246
Aug-16,0.0142,0.0582,0.0276,0.0407,0.0111,0.0427,-0.0085,0.0163,-0.0352,-0.0789,0.0316
Sep-16,-0.0208,-0.0088,0.0203,0.0226,-0.0418,-0.0143,0.0012,-0.0228,-0.0203,-0.042,-0.0515
Oct-16,0.0023,0.054,0.0117,0.0335,0.0058,0.0161,0.0178,0.0344,-0.0194,0.0028,0.0325
Nov-16,-0.0468,-0.057,-0.1022,-0.0374,-0.0531,-0.0687,-0.0458,-0.0954,-0.0182,0.0124,0.0172
Dec-16,-0.001,-0.0441,-0.0142,0.0276,0.0074,-0.0312,-0.0661,-0.0077,0.0324,-0.0631,-0.0076
Jan-17,0.0379,0.1292,0.0663,0.0289,0.0523,0.077,0.0047,0.081,-0.0597,0.1042,0.0798
Feb-17,0.0386,0.0225,0.041,0.0844,0.0268,0.0525,0.039,0.003,0.0792,0.038,0.0092
Mar-17,0.0301,0.0333,0.0497,0.0191,0.0521,0.0534,-0.0047,0.0575,-0.001,-0.0404,0.0246
Apr-17,0.01,0.0421,0.0487,0.044,0.0152,0.047,-0.0193,0.053,-0.0747,0.0294,0.033
May-17,0.0402,0.0069,0.0274,-0.0267,0.0711,0.0288,-0.1019,-0.0015,0.0615,0.0007,-0.0326
Jun-17,-0.0072,0.0071,0.0019,-0.0346,0.0314,0.002,0.0452,-0.0171,-0.0395,0.0205,-0.008
Jul-17,0.0502,0.0661,0.0381,0.102,-0.0326,0.0801,0.0003,0.048,0.0596,0.101,0.0485
