,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
46,319300,295000,277900,247400,257300,365200,352700,333000,312700,306200,304000,302800,294900,287000,287200,288100,287700,282400,272200,269800,276093,278770,281746,285069,284399,281816,263559,284614,310465,325989,322340,326460,413561,379902,353735,340432,330050,324693,328619,330475,327721,333961,345889,360416,365463,371988,384214,394935,403243,411547,414054,410463,411749,403988,404902,396365,405783,395517,378695,362732
47,324100,319300,293000,276200,245200,256700,363600,348600,330300,310400,307300,302300,301300,292900,285800,285800,286700,286500,281200,270700,267293,274571,277456,280547,283996,283272,280415,262286,283616,308960,324844,321767,325975,411525,379200,352690,339407,328977,324404,327702,329911,325078,333616,345348,359465,365291,370003,383644,395226,403356,410980,413073,409890,411595,404319,405100,396081,405365,394915,378169
48,318400,323100,318700,291700,274400,244600,252800,362100,345100,327700,307800,305300,300700,299500,291500,284100,284200,285100,285300,279500,268493,265875,273160,276030,279393,282748,281998,279016,261156,282429,307765,323167,321041,325434,409366,378374,351472,338207,328017,323852,326768,327539,324387,333268,344460,358886,363091,369522,383490,395704,402826,410012,412294,409558,411737,404496,404785,395535,404794,394361
49,314100,318500,320700,317900,290000,272700,241900,246600,361100,341800,326900,306600,303900,299000,297800,289900,282100,282300,283700,283700,277791,267156,264666,271978,274738,278025,281314,280698,277442,260148,281382,306692,321551,320342,324754,407040,377230,350321,337341,326839,323232,324806,326871,323517,332518,343792,356490,362480,369375,383477,395504,401718,409131,412066,409599,412008,404069,404530,394940,404120
50,314300,313300,317700,319100,316000,287200,269900,239100,242800,361900,340200,324800,305600,301800,296400,295600,287800,280100,280700,281900,281894,276494,265929,263408,270697,273492,276547,279874,279518,276274,258997,279676,305415,319675,319702,324259,404217,376089,348982,336271,324788,322094,324030,325062,322881,331427,342685,356250,361987,368268,382183,394601,400964,408716,411852,409622,411482,403737,404023,394340
51,314000,312700,311700,316500,316200,312000,284400,267000,236900,238700,355800,337300,322900,303200,299100,294000,293200,285600,278400,278900,280194,280256,274906,264249,262241,269267,271880,274964,278415,278277,274873,258355,278099,304100,318172,318942,323373,401509,375081,347910,334543,323733,320718,322491,324562,321320,330480,342653,355386,360623,367041,381162,393563,400303,408357,411470,408723,410877,403097,403388
52,314800,312700,310700,309700,314100,313100,309100,281600,264800,234100,241300,352800,334500,320100,300600,296300,291300,290700,283500,276700,277194,278337,278529,273179,262832,260796,267680,270305,273466,276998,276860,273423,257343,276484,302886,316501,317895,322463,399169,374220,346118,333182,322481,318501,322151,323042,319933,330564,341750,353500,359204,365826,380153,393040,399787,408082,410685,408088,410430,402558
53,312500,313300,310800,308100,306600,309100,309400,306800,279400,261700,231600,238900,349400,331200,317000,297400,293300,288700,288100,281300,275094,274623,275990,276431,271451,261011,258881,265896,268554,271877,275374,275266,271792,256297,274901,301470,314591,316619,321531,396612,372400,344498,331499,320479,317588,320883,321757,319610,329930,340055,351677,358135,364894,379530,392314,399246,407247,410161,407359,409863
54,304200,310100,310700,308100,304600,302100,305700,306000,304400,276200,258600,228500,236500,345800,328300,313400,294400,290400,285900,285300,279393,272461,272163,273867,274417,269411,258845,257197,264085,266931,270148,273937,273678,270306,255402,273046,299827,312344,315734,320930,393046,370101,342664,329006,319715,315592,319799,321370,318474,328389,338310,350379,356922,364115,378702,391494,398115,406510,409311,406607
55,295700,301400,306700,308000,305000,301500,298900,303100,303000,300000,275400,255300,226100,233500,341900,324800,309700,291200,287300,283200,282606,276415,269861,269824,271469,272108,266780,256666,255300,262125,264732,268476,272258,271992,268517,254108,271121,298040,310369,314421,319684,391421,366732,340397,327499,317903,313202,317906,319953,316973,327115,337129,349091,355810,363081,377767,390196,396937,405400,408245
56,290200,293200,297700,303100,304600,301000,297700,295200,299500,297800,293100,271900,252200,222900,230700,338100,320400,305800,287600,283500,280106,279358,273429,266992,267058,268668,269300,264217,254295,253097,259811,262583,266393,270279,270099,266715,252449,269082,296264,308080,312635,316798,389192,363627,338425,325112,315427,310651,316552,318239,315134,325676,335740,347888,354517,361717,376135,388635,395372,404048
57,285100,287000,290200,293800,298900,299600,296700,293300,291300,294700,294600,288800,268600,248400,219800,227400,333400,315900,301700,283500,280206,276277,276215,270150,264054,263939,265480,266404,261498,251740,250683,257467,260308,264293,268103,268001,264672,250691,267061,294097,305725,309694,313515,387349,360903,335989,322545,313059,308782,315146,316474,313644,324098,334470,346705,353194,360087,374426,386992,393763
58,277100,280900,283300,286200,289500,294000,295200,291900,288700,285900,290900,290500,284400,264300,244300,216000,223800,327800,311200,297300,279406,276059,272454,272843,266679,260801,260082,262244,263509,258593,248977,248125,254989,257905,262139,266067,265769,262391,249193,264620,291858,303510,306471,310600,385885,357834,333094,319871,311206,306648,313535,314333,311644,322384,333033,345189,351191,357968,372260,384799
